MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
375605000,2025-09-05T15:39:34,18.254515741786356,-64.97598997287653,0,0,0.03951791619158725,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:34,18.23290230875999,-64.9822813016887,0,0,2.0953926730671633,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:34,18.25802576758179,-64.97744762431786,0,0,-1.7994186490377895,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:35,18.254516114240765,-64.97597687883585,0,0,0.038542900141532686,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:35,18.232913082165048,-64.9822878462232,0,0,2.0948333595243125,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:35,18.258013686395397,-64.97745065763993,0,0,-1.8008488271984986,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:36,18.25451637726169,-64.97596816559425,0,0,0.03679969500234161,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:36,18.232920313032146,-64.98229212365264,0,0,2.0935474663360734,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:36,18.258005644072576,-64.97745263455172,0,0,-1.803535180953744,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:37,18.25451678178106,-64.97595509990022,0,0,0.03574297422039988,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:37,18.232931092046055,-64.98229870748281,0,0,2.0927399722479096,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:37,18.25799348935555,-64.97745584707239,0,0,-1.8054506789736036,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:38,18.25451705091981,-64.97594639726609,0,0,0.03467552036311183,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:38,18.232938240702996,-64.98230318399388,0,0,2.0920745376226493,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:38,18.257985442594446,-64.97745784742386,0,0,-1.807610858777012,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:39,18.254517446479255,-64.97593339216635,0,0,0.03440308687614374,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:39,18.232949047222437,-64.98230967622712,0,0,2.092128643171375,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:39,18.25797333929408,-64.97746093006909,0,0,-1.8086197811400309,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
